skill_label,description
lead hiking trips,Guide participants on a nature walk on foot.
oversee the printing of touristic publications,Manage the printing of marketing publications and materials for the promotion of tourism-related products.
organise zoological exhibitions,Organise zoological exhibitions and the display of live animals and zoological collections.
form continuous bands,Form continuous bands by cutting the plies at the right splice points and by pressing their ends together.
employ cognitive behaviour treatment techniques,"Employ cognitive behavioural treatment techniques for those whose treatment involves cognitive re-training, addressing dysfunctional emotions, maladaptive behaviours and cognitive processes and contents through a variety of systematic procedures."
contextualise artistic work,"Identify influences and situate your work within a specific trend which may be of an artistic, aesthetic, or philosophical natures. Analyse the evolution of artistic trends, consult experts in the field, attend events, etc."
perform maintenance on locomotives,"Perform general maintenance of locomotive parts such as wheels, springs and brake rigging traction motors; test and repair safety appliances, air compressors, safety valves, fuel systems, shutters and radiators; install, assemble, disassemble, repair or replace locomotive diesel engine components."
monitor filling machines,"Monitoring filling, weighting, and packing machines."
prepare documentation for international shipping,Understand how to prepare and process official documents for international shipping.
quantitative sensory testing,The principles of different available methods and paradigms of quantitative sensory testing for heat sensing thresholds and pain thresholds and the limitations of psychophysical techniques.
ensure tableware is ready for use,"Guarantee that plates, cutlery and glassware are clean, polished and in good condition."
manage theft prevention,Apply theft and robbery prevention; monitor security surveillance equipment; enforce security procedures if needed.
evaluate employees work,"Evaluate the need for labour for the work ahead. Evaluate the performance of the team of workers and inform superiors. Encourage and support the employees in learning, teach them techniques and check the application to ensure product quality and labour productivity."
create vacuum forming mould,Make a vacuum forming mould out of any of various suitable materials that can withstand the temperatures and stresses involved in the process. Make sure that any cavities meant to be filled in are exposed to the vacuum power.
provide care for horses,"Provide care for horses includes cleaning, housing, preparing horses and ponies for riding, fixating and leading horeses, taking into account the safety regulations for horeses and people, specific requirements of horse at hand; using proper methods and equine tools and equipment."
unload supplies,Remove deliveries from a truck and move new supplies to workplace or storage area.
operate cremation equipment,"Handle equipment used for the cremation of deceased individuals, such as cremators, incinerators, cremulators and magnets."
use manual sewing techniques,Use manuel sewing and stitching techniques to manufacture or repair fabrics or textile-based articles.
glass breakage sensors,"Different types of sensors used to detect the breaking of glass, usually with a microphone set to detect frequencies associated with breaking glass, or vibration detectors. The advantages, disadvantages, usage cases and price points of each."
teach air cabin crew procedures,Teach the procedures and protocols used in aeroplane and aircraft cabins.
demonstrate proficiency in packaging standards,Work in accordance with the latest developments in domestic and international packaging standards and procedures.
tie reinforcing steel,"Tie together bars of reinforced steel or rebar to ensure stability of the structure before concrete is poured. Use metal wire to tie the bars together at every second, third or fourth intersection as required. Use the standard flat tie or more advances ties such as saddle ties and figure 8 ties to support heavier loads such as workers standing or climbing on the rebar structure."
manage selection of breeding stock,Manage the selection of breeding stock in accordance with the breeding programme and where possible screen stock to minimise known genetic weaknesses.
drive timber piles,Use any of various types of pile drivers to drive piles made of timber into the ground for structure stabilisation purposes. Take care to position the pile and pile driver correctly and apply the correct amount of force to drive the pile while preventing damage and physical stresses.
estimate value of musical instruments,"Identify new or second hand musical instruments and estimate the market value of them based on professional judgment and knowledge of musical instruments, or subject them to estimation by a third party."
periodisation,"The categorisation of the past into defined blocks of time, called time periods, in order to make researching history easier."
oversee arrival and departure of ships into port,Communicate with the captain in relation to when the ship will arrive or depart the port. Notify and liaise with port authorities.
perform fundraising activities,"Perform activities which will raise funds for an organisation or campaign, such as speaking with the public, gathering funds during fundraising or other general events, and using online fundraising tools."
perform system analysis,Execute system analyses and calculate to what extent changes could affect outcomes.
deal with pressure from unexpected circumstances,Strive to achieve objectives despite the pressures arising from unexpected factors outside of your control.
monitor patient's health condition,"Frequently examine the mental or physical health condition of a patient, monitor the use of medication and report on their condition to your superiors or to the patient's family."
prepare garnish for drinks,Clean and cut fruit and vegetables to garnish a wide variety of alcoholic and non-alcoholic drinks.
operate hydraulic machinery controls,"use correctly the controls of specialized machinery by turning valves, handwheels, or rheostats to move and control flow of fuels, water, and dry or liquid binders to machines."
types of crosscut saws,"Be acquainted with the use of different kinds of crosscut saws, which consist mainly of felling and bucking saws."
design control systems,"Develop devices that command and manage the behaviour of other devices and systems, using engineering and electronics principles."
triage clients for physiotherapy,"Triage clients for physiotherapy, prioritising their assessment and indicating where additional services are required."
stock market,The market in which shares of publicly held companies are issued and traded.
handle cash flow,"Handle the movement of money into or out of a business, project, or financial product."
determine cause of death,"Determine the cause of death of a recently deceased individual in order to assess whether the death was from natural or abnormal causes, and to aid government officials in investigations related to the individual or circumstances of their death."
identify hazards in the workplace,Perform safety audits and inspections on workplaces and workplace equipment. Ensure that they meet safety regulations and identify hazards and risks.
convert textile fibres into sliver,"Convert textile fibres into drafting sliver by working in the fibre opening, carding and drafting process."
dry paper manually,"Press a sponge on the pulp and screen to press water or chemical solutions out, forcing the pulp fibres to bond together."
supervise worker safety,Ensure safety of site personnel; supervise correct use of protective equipment and clothing; understand and implement safety procedures.
create auction catalogue,Compose auction catalogues with current items up for auction; include recent pictures and terms and conditions of the sale.
remove cheating players,Detect and expel suspected cheating players
wide web flexographic printing press,"Methods and restrictions of printing on flexographic printing presses, which use wide width of printing, can achieve high run speeds and utilise fast drying solvents."
conduct qualitative research,"Gather relevant information by applying systematic methods, such as interviews, focus groups, text analysis, observations and case studies."
use software for data preservation,Utilise specialised applications and software to collect and preserve digital information.
source criticism,"Process of classifying various informational sources into different categories such as historical and non-historical, or primary and secondary, and evaluating those sources on the basis of their content, material features, authors etc."
orthotic devices,"The types of devices used for support such as braces, arch supports and joints."
post-secondary school procedures,"The inner workings of a post-secondary school, such as the structure of the relevant education support and management, the policies, and the regulations."
fuel inventory methods,Know various fuel inventory methods; know gauging procedures for fuel bladders using petroleum gauging stick.
make time-critical decisions,Pursue optimal time-critical decision making within the organisation.
communicate regarding food labelling interdisciplinary issues,Communicate on current and emerging food labelling interdisciplinary issues and their impact on products and product technology.
provide clinical psychological counselling,"Provide clinical psychological counselling in relation to health impairments, their conditions and the possibilities for change."
manage mine site data,"Capture, record and validate spatial data for the mine site."
use tools for castings repair,"Construct and repair castings and equipment using hand tools, machine tools, and measuring instruments. Safely carry out emergency or temporary repairs. Take measures to ensure a safe working environment."
employ foreign languages for health-related research,Use foreign languages for conducting and collaborating in health-related research.
select coquille types,Select the appropriate coquille types and coquille sizes.
manage briefs for clothing manufacturing,Manage briefs from clients for the manufacturing of wearing apparel. Collect customers' demands and prepare them into specifications for the production.
report call errors,Perform checks to ensure that call data have been entered correctly; report call errors to authorised personnel.
web programming,"The programming paradigm that is based on combining markup (which adds context and structure to text) and other web programming code, such as AJAX, javascript and PHP, in order to carry out appropriate actions and visualise the content."
swaging machine types,"Types of machines used for swaging processes in forging, such as the tagging machine, the butt swaging machine, the creeping spindle swaging machine and others."
apply tile adhesive,"Apply the tile adhesive, often thinset, to the surface. Load the notch trowel with adhesive and paste it to the wall to form a thin, even layer. Take the drying time of the material and your working speed into account to make sure the adhesive does not dry out. Remove excess adhesive. Apply silicone or mastic along the edges, anywhere slight movement is expected, or for improved moisture resistance."
solve problems in healthcare,"Carry out actions, by previously identifying and analysing problems, that facilitate seeking the most beneficial solution for the patient, the family and the community, reaching objectives, improving outcomes and keeping the quality of their work."
manage time in fishery operations,Ensure an efficient management of work schedules meant for fishery and aquaculture activities.
implement nursing care,Implement nursing care when treating patients in order to improve professional practice.
practice emergency stops,"Practice emergency stops. Know the interchange with anti-lock braking systems (ABS), as this must to be disabled before the execution of an emergency stop."
manage the security team,"Plan, organise and schedule work, equipment and procedures to be followed for the security staff under your supervision."
operation of different engines,"Know the characteristics, maintenance requirements and operating procedures of various kinds of engines such as gas, diesel, electrical, and engines with steam propulsion plants."
ensure consistency of published articles,"Ensure that articles are consistent with the genre and theme of the newspaper, journal or magazine."
maintain database performance,Calculate values for database parameters. Implement new releases and execute regular maintenance tasks such as establishing backup strategies and eliminating index fragmentation. Evaluate hardware products and operating systems.
apply music therapy termination methods,"Decide, together with the patient, on the methods to be used to conclude the music therapy sessions."
occupational physiology,"The complex physiology of specific jobs and its relation to disorders and medical conditions and the way to optimize health, work ability, and productivity."
sell footwear and leather goods,Sell footwear items and leather products by highlighting their features.
sell antiquarian products,"Sell antiquarian items and other printed goods in retail outlets, through specialised catalogues or at different locations such as trade fairs."
perform aircraft maintenance,"Carry out inspection and maintenance on aircraft parts according to the maintenance procedures and documentation, and perform repair work to remedy functional and deterioration problems."
examine healthcare facility,"Ensure compliance of  healthcare institutions with related regulations. Inspect the physical site and the legal paperwork such as certificates, permits and licenses."
advise customers on using confectionary products,Give advice to customers concerning the storage and consumption of confectionery products if requested.
train staff in quality procedures,Educate and train team members in the quality procedures related to the mission of the team.
manage claims process,"Manage the relation with an insurer related to its obligation to receive, investigate and act on a claim filed by an insured."
sales promotion techniques,The techniques used to persuade customers to purchase a product or a service.
marketing management,"The academic discipline and function in an organisation which focuses on the market research, market development, and the creation of marketing campaigns to raise awareness on the company's services and products."
precision mechanics,Precision or fine mechanics is a subdiscipline in engineering that focuses on the design and development of smaller precision machines.
advocate health,"Advocate for health promotion, well-being and disease or injury prevention on behalf of clients and the profession to enhance community, public and population health."
biomechanics of sport performance,"Have theoretical and experiential awareness of how the body works, biomechanical aspects of sport practice, typical movements, and terminology of technical movements to be able to process input from your artistic discipline."
study play productions,Research how a play has been interpreted in other productions.
develop communicable disease control policies,"Develop policies, guidelines, operational research, and strategies for the control of infectious diseases that can be transferred from human to human or from animal to human."
assess social service users' situation,"Assess the social situation of service users situation balancing curiosity and respect in the dialogue, considering their families, organisations and communities and the associated risks and identifying the needs and resources, in order to meet physical, emotional and social needs."
ensure that shipment contents correspond with shipping documentation,Ensure that the content of shipments corresponds with the respective shipping documentation.
side effects of radiotherapy treatment,The side effects and responses that patients can have after undergoing radiotherapy treatments.
sport history,The background history of players and athletes and the history of sport events and games.
research new photographic procedures,Participate in research to develop new photographic procedures and materials.
emergency cases,"The emergency cases with different disease patterns and syndromes, the special emergency cases and their appropriate interventions."
apply requirements concerning manufacturing of food and beverages,"Apply and follow national, international, and internal requirements quoted in standards, regulations and other specifications related with manufacturing of food and beverages."
food engineering,"Research and development of new foods, biological and pharmaceutical products, development and operation of manufacturing and packaging and distributing systems for drug/food products, design and installation of food production processes."
Montessori teaching principles,"The teaching and developmental methods and philosophy of Maria Montessori, an Italian physician and educator. These principles involve learning concepts by working with materials and encouraging students to learn from their own discoveries, and is also known as the constructionist teaching model."
repair stuffed animals,"Consult documentation and perform the necessary tasks such replacing parts, repair fur or change the colours, to return the item back to its original condition and maintain its authenticity."
manage ethical issues within social services,"Apply social work ethical principles to guide practice and manage complex ethical issues, dilemmas and conflicts in accordance to occupational conduct, the ontology and the code of ethics of the social services occupations, engaging in ethical decision making by applying standards of national and - as applicable - international codes of ethics or statements of principles."
acquire licences for the use of weapons,"When using weapons, coordinate with technical staff on legal aspects such as licenses, authorisations and assurances related to weapons and munition used."
carry out de-icing activities,Spread salt or other chemical products on the ice-covered surface in public spaces to ensure de-icing and safe usage of such spaces.
apply technical communication skills,"Explain technical details to non-technical customers, stakeholders, or any other interested parties in a clear and concise manner."
fill nail holes in wood planks,Fill holes left by nails in wood planks with wood putty. Remove excess material with a plastic trowel or putty knife.
promote music,Promote music; participate in media interviews and other promotional activities.
promote company,To always try to project the company in the best possible light and to go the extra mile to ensure the best possible experience at the club by staff and customers alike. To explain and actively promote all club activities to customers.
instrument performance elements,"Elements that indicate or influence instrument performance. A first indication of the performance of the instrument is the accuracy or precision of the instrument, such as its response time, resolution, and range. A second indication of performance is the technical performance of the instrument, such as its power level, the electromagnetic interference, and transient voltages. A third indication of performance are environmental factors that can influence instrument performance, such as humidity, operating temperatures, or dust."
office administration,"The paperwork processes related to the administrative areas of an office environment. The activities or processes may include financial planning, record keeping and billing and managing the general logistics of an organisation."
identify research topics,"Determine issues on social, economic or political level in order to explore them and to do research on them."
perform manual work autonomously,"Show the ability to pursue basic manual tasks without the help or assistance of others, not needing supervision or guidance, and taking responsibility for one's actions."
drive tunnel boring machine,Steer the tunnel boring machine based on input from navigation devices. Operate the hydraulic rams in a timely and precise manner to stay on course.
diagnose defective engines,"Diagnose engine damage or malfunctions by inspecting mechanical equipment; utilise instruments such as chassis charts, pressure gauges, and motor analysers."
train staff on call quality assurance,"Educate and train a staff of call centre agents, supervisors and managers in the Quality Assurance (QA) process."
assemble wire harnesses,Build wire harness assemblies using wire harness boards.
prepare specialised coffee,Prepare coffee using specialised methods and equipment. Ensure a high quality preparation process.
Litmos,"The computer program Litmos is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs. It is developed by the software company CallidusCloud."
supervise the work of cleaning staff,Coordinate the work of staff in the cleaning areas by planning and monitoring the work of cleaning staff and giving feedback on their activity.
arrange bookings,"Arrange shows, performances, concerts, etc. for clients."
perform tungsten inert gas welding,Weld metal workpieces together by tungsten intert gas (TIG) welding. This arc welding process welds metal workpieces using the heat generated between an arc of electricity struck between a non-consumable tungsten metal electrode. Use an argon or helium inert gas to shield the weld from athmospheric contamination.
provide charity services,"Provide services for charity causes, or perform an independent activity related to community service, such as providing food and shelter, performing fundraising activities for charitable causes, gathering support for charity, and other charitable services."
produce materials for decision making,"Compile relevant data, write reports and occasionally prepare presentations to communicate information that will help the business management team to take decisions."
educate healthcare users on nutrition,"Help healthcare users and caregivers with choosing meals from a modified therapeutic selective menu, explaining nutritional principles, dietary plans and diet modifications, food selection and preparation and providing and explaining materials and publications to support the nutrition care plan."
plan engineering activities,Organise engineering activities before starting them.
inspect aircraft cleanliness,"Conduct inspections to ensure the aircraft is clean; inspect whether refuse has been removed, whether the seats are arranged properly, and the cleanliness of galleys and lavatories."
validate amusement park tickets,"Validate tickets for venues, amusement parks and rides."
tend laser beam welding machine,"Tend a metalworking machine designed to join metal pieces by use of a laser beam exuding a concentrated heat source, monitor and operate it according to regulations."
be friendly to passengers,"Engage with passengers according to the expectations of contemporary social behaviour, the specific situation, and the code of conduct of the organisation. Communicate in a polite and clear way."
forming of public opinion,"The process whereby perceptions and opinions toward something are forged and enforced. The elements that play a role in public opinion such as framing information, psyche processes, and herding."
apply caseload management,"Manage a number of patients within a given amount of time, striving to provide optimum health services."
evaluate engine performance,Read and comprehend engineering manuals and publications; test engines in order to evaluate engine performance.
empty community waste collection bins,Empty containers placed on public sites used for the disposal of non-hazardous waste and to transport the waste to waste treatment and disposal facilities.
manage veterinary practice waiting area,Manage the waiting area in a veterinary practice and ensure that both the clients' and the animals' needs are monitored and prioritised.
operate rust proofing spray gun,"Operate a semi-automatic or handheld spray gun designed to provide the surface of a workpiece with a permanent, corrosion-protective finishing coat, safely and according to regulations."
hire new personnel,Hire new personnel for a company or organisation payroll via a prepared set of procedures. Make staffing decisions and direct selection co-workers.
neuropharmacology,The central nervous system neurotransmitters and drugs which modulate them and the mode of action of drugs affecting the central and peripheral nervous systems.
operate smelter,"Operate heating machinery in order to melt various materials, or to bake filled-up moulds."
use physiotherapy for treatment of animals,"Adapt human physical therapy techniques to increase function and mobility of joints and muscles in animals.  
The goal of physical therapy for animals is to improve quality of life and decrease pain. Cooperate with veterinarians and owners to design a physiotherapy treatment and care package. 
 
 "
perform property market research,"Research properties in order to assess their usefulness for real estate activities, using various methods such as media research and visitation of properties, and identify the potential profitability in the development and trading of the property."
collect client fitness information,"Collect fitness information relating to individual clients; Identify client information which is to be collected and advise clients of correct procedures, protocols and risks prior to commencing physical assessment and exercising."
clean engraved areas,Polish and clean engraved etching areas.
operate vessel critical systems,"Operate of critical systems such as electronic navigation aids, steering, de-watering, safety apparatus. Carry out captain's orders."
assemble bombs,"Tighten pierced and threaded plugs into the base of aerial bombs. Slip metal sleeves around the projectile, and pack the product in metal containers together with additional identification data."
repair battery components,"Repair battery components through replacing cells, repairing wiring, or spot-welding cells."
condition of local roads,Know local streets and their condition in order to provide efficient and timely transportation services.
order optical supplies,"Order optical equipment and materials, paying attention to the price, quality, and suitability of the supplies."
apply publicity code,"Apply legislation and rules to present products to a public in texts, pictures and other symbols."
provide specialist pharmaceutical advice,"Provide specialist information and advice on medicinal products such as the appropriate use, the adverse reactions and the interactions with other medications."
facilitate safe disembarkation of passengers,"Assist passengers when they leave the vessel, aircraft, train, or other mode of transport. Keep the safety measures and procedures in mind."
define set building methods,Decide on how the set will be built and document the conclusions.
operate LHD,"Operate an LHD, a rubber tired, electric or diesel-operated piece of equipment used for cleaning roadways and hauling supplies underground."
footwear quality,"Quality specifications of materials, processes and final products, the most common defects in footwear, quick tests procedures, laboratory tests procedures and standards, adequate equipment for quality checks. Quality assurance of footwear production processes and fundamental concepts on quality including footwear quality framework and standards."
screw manufacturing processes,"The various manufacturing processes performed to produce metal screws, such as cold heading, thread rolling, thread cutting, and others."
separate ink,"Absorb the ink from the substrate, which separates solid particles from liquid material by detergency. This facilitates the separation of ink from fibre."
provide basic support to patients,"Support patients and citizens with activities of daily living, such as hygiene, comfort, mobilisation and feeding needs."
initiate claim file,"Start up the process to file a claim for a customer or victim, based on the judgement of the damage and the responsibilities of the parties involved."
Schoology,"The computer program Schoology is a e-learning platform for creating, administrating, arranging, reporting and delivering e-learning education courses or training programs."
operate towtruck,Attach the vehicle to the towtruck. Ensure safe movement of the vehicle while driving the towtruck. De-attach the vehicle from the towtruck at the destination.
art history,"The history of art and artists, the artistic trends throughout centuries and their contemporary evolutions."
prepare presentation material,"Prepare the documents, slide shows, posters and any other media needed for specific audiences."
analyse the training market,"Analyse the market in the training industry in terms of its attractiveness taking market growth rate, trends, size and other elements into account."
computer engineering,"Engineering discipline that combines computer science with electrical engineering to develop computer hardware and software. Computer engineering occupies itself with electronics, software design, and the integration of hardware and software."
medico-biological and medical sciences related to dentistry,"The behavioral component and the social environment  which impact the health of humans, in respect to dentistry."
accept feedback on artistic performance,"Accept feedback, proposed discussions and avenues of exploration about the precision of movements, rhythm, musicality, precision of the performance, interaction with peers and stage elements, areas requiring improvement. Take feedback into account to develop the potential as performer. Note the choreographers/repetiteur/dance master instructions, the instructions of other collaborators (dramaturge, performers/dancers peers, musicians, etc.) assuring being in the same page with direction team."
measure sugar refinement,Measuring the level of refinement of sugars.
develop taxation policies,"Develop new policies dealing with taxation procedures based on prior research, which will improve the efficiency of the procedures and their influence on the optimisation of government revenue and expenditures, ensuring compliance with taxation legislation."
work with blacksmithing hand tools,"Work with hammers, chisels, anvils, tongs, vises, forges, and others to create hand-made metal products by performing blacksmithing operations."
identify market requirements for documentation,"Conduct research and analyse the specific documentation requirements of the markets (for instance language, applicable standards or legal requirements and cultural conditions) and derive concrete specifications for ICT documentation development."
car cleaning procedures,The procedure and appropriate equipment necessary for proper wash and polish of different types of cars.
cut tobacco leaves,Cut leaves into fine strands using the adequate equipment before drying. Ensure that cutting sizes are according to requirements.
create food production plan,Delivers the production plan within agreed budgetary and service levels.
schedule recreation facilities,Schedule the use of recreational facilities.
manage venue programme,Coordinate the artists' tour agenda and availability with the seasonal venue program and respect the deadlines.
assemble electromechanical systems,Put together electromechanical equipment and machinery according to specifications.
install metal gas piping,Safely install gas pipes and tubes made of steel or copper. Install all necessary connectors and modern ball valves. Test the pipe to make sure there are no leaks.
business law,"The field of law concerned with the trade and commerce activities of businesses and private persons and their legal interactions. This relates to numerous legal disciplines, including tax and employment law."
advise on financial matters,"Consult, advise, and propose solutions with regards to financial management such as acquiring new assets, incurring in investments, and tax efficiency methods."
shape organisational teams based on competencies,Study the profiles of collaborators and decide the best place for directors and collaborators following an strategic mindset and serving to the goals of the company.
instruct in sport,"Provide appropriate technical and tactical instruction related to the given sport using varied and sound pedagogical approaches to meet the needs of the participants and achieve the desired objectives. This requires skills such as communication, explanation, demonstration, modelling, feedback, questioning and correction."
use aeronautical mobile service communications,"Make use of aeronautical communications devices to transmit and receive technical information to and from aircraft, in line with technical regulations and provisions."
adapt to change in marketing,"Stay informed and adapt to developments, innovations and trends concerning marketing such as marketing tools and marketing technologies."
social entreprise,"The business that uses its profits to reinvest in social missions, which have a social or environmental impact on the society."
install irrigation systems,Install and shift irrigation systems to distribute water according to needs.
assess lameness in horses,Monitor if the animal travels in a regular and sound manner on all four feet. Identify lameness and act accordingly and under veterinarian instructions.
place orders for household equipment,"Depending on stock availability, order pieces of furniture and other household appliances and equipment."
optical glass characteristics,"The characteristics of optical glass such as refractive index, dispersion, and chemical properties."
train routes,Know principal train routes and quickly search for relevant information to respond to customer questions. Provide advice on potential shortcuts and itinerary options.
facilitate appropriate compositional structures in dance,"Recognise and facilitate dance compositional structures appropriate to your chosen dance style and dance making process, your programme design, participant and group needs. Attend to composition opportunities of your chosen dance style and your dance composition structures. Facilitate and involve a group's ideas through a choreographic process."
assess food samples,"Assess samples from a range of sources to draw analyses. For example, microorganisms detection, chemical analysis, and parasitological analysis."
liaise with shareholders,"Communicate and serve as communication point with shareholders in order to provide an overview on their investments, returns, and long-term plans of the company to increase profitability."
install water purity mechanism,Install different types of mechanisms that prevent impurities from getting into the recovered water. Install micron filters and membranes to filter out debris and prevent mosquitoes from entering the water supply. Place ball mechanisms to filter out the first flush from rooftop rainwater.
evaluate mine development projects,"Evaluate mining methods and procedures, including waste management, life-of-mine plans, production timelines and funds expenditures."
provide social guidance over the phone,Give social support and advice to individuals over the phone listening to their concerns and reacting accordingly.
maintain robotic equipment,"Diagnose and detect malfunctions in robotic components and systems and remove, replace, or repair these components when necessary. Execute preventative equipment maintenance tasks, such as storing robotic components in clean, dust-free, and non-humid spaces."
application usability,"The process through which the learnability, efficiency, usefulness and ease of use of a software application can be defined and measured."
recommend wines,Offer recommendations to customers on available wines and advise combinations of wines with specific dishes on the menu.
transfer luggage,"Transfer cargo and luggage to other gates, other airlines, and to passengers in a timely and safe manner."
operate tractor,"Operate a tractor, a heavy vehicle designed to deliver high torque at low speeds."
proofread text,"Read a text thoroughly, search for, review and correct errors to ensure content is valid for publishing."
surgical asepsis,The way to keep equipment and surfaces sterile to prevent infections during medical care.
define celestial bodies,"Analyse data and images to calculate the size, shape, brightness, and motion of celestial bodies."
issue fines,"Recognise a violation in legislation, and issue the appropriate fine to the offender compliant with regulations and ensuring the person is aware of the specific violation they performed."
apply extensive study of wine types from around the world,Study wine types from around the world and advise companies and people in the industry. Analyse the types of wine being sold in different countries.
legislation in agriculture,"Body of regional, national and European laws enacted in the field of agriculture and forestry concerning various issues such as product quality, environmental protection and trade."
change window displays,Change or rearrange window displays. Reflect changes in the shop inventory. Emphasise new promotional actions.
negotiate on asset value,"Negotiate with asset owners or parties involved in handling the asset on the monetary value of the asset for selling, insurance, usage as collatoral, or other purposes, in order to secure the most financially beneficial agreement for the client."
operate wood router,"Handle automated or non-automated industrial wood routers, which feature a routing head that moves over the wood, going up and down to regulate the depth of the incision."
provide user documentation,"Develop and organise the distribution of structured documents to assist people using a particular product or system, such as written or visual information about an application system and how to use it."
compose playlist,Compose a list of songs to be played during a broadcast or performance in accordance with requirements and time frame.
Java (computer programming),"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Java."
adapt developed game to the market,Follow gaming trends in order to adjust the development of new games to the current needs of the market.
coordinate technological activities,Give instructions to colleagues and other cooperating parties in order to reach the desired outcome of a technological project or achieve set goals within an organisation dealing with technology.
review closing procedures,"Review the documentation and gather information on the closing process of assets trading, the step in which the ownership is officially transferred from one party to another, in order to verify whether all the procedures were compliant with legislation and that all contractual agreements were followed."
operate dragline,"Use large dragline excavators to remove overburden above coal, lignite, and other minerals. Drag a bucket attached to a line over the surface to collect material and remove it."
handwriting analysis,Types of approaches to analysing handwriting in order to identify a person and their personality.
solicit event publicity,Design advertisement and publicity campaign for upcoming events or exhibitions; attract sponsors.
liaise with financiers,Liaise with people willing to finance the project. Negotiate deals and contracts.
drive mobile heavy construction equipment,"Drive movable heavy equipment used in construction. Load the equipment onto low loaders, or unload it. Judiciously drive equipment on public roads when required."
calibrate engines,Use calibration tools to adjust and tune engines to ensure optimal performance and durability.
determine quality of engraving,"Quality control of engravings and etchings; check for cuts, burns, rough spots and irregular or incomplete engraving."
cardiovascular system,"The cardiovascular system including the anatomy, physiology, and pathophysiology of the circulatory system in health and disease."
pack merchandise for gifts,Gift-wrap merchandise at the customer's request.
clean carcasses,"Remove organs, fats sticking hole, spinal cord, and diaphragm from carcasses. Perform cleaning of the carcass following established procedures in order to obtain a final carcass presentation."
oversee the daily train operations plan,Check the daily train plan and oversee operations according to the trains running in a specific area; be aware of any timetable changes or speed limitations and any line or electrical malfunctions.
feed the nitrator,Feed the nitrator with mixed acids or toluene compounds making sure the types and quantities are as according to specifications.
install stretch ceiling,Fix a stretch ceiling to the installed profiles. Heat the room to temporarily increase the stretchability of the material. Take care to prevent wrinkles or uneven stresses.
inspect aircraft's body,Inspect the body of aircraft for superficial damage and corrosion.
transfer fish,"Transfer fully grown fish to a body of water, using a tank truck."
provide clinical psychological expert opinions,"Provide clinical psychological expert opinions and reports regarding the performance, personality traits, behaviours and mental disorders."
manage prompt book,"Prepare, create and maintain the prompt book for a theatrical production."
install circuit breakers,"Install electrical switches designed to switch off automatically in case of an overload or short-circuit. Organise circuit breakers in the panel logically. Make sure no foreign objects are introduced into the panel. Use only circuit breakers approved for the panel, usually the same manufacturer."
apply horticultural standards and practices,"Establishes and maintains high horticultural standards and practices; providing direction, training and motivation for the horticultural staff, interns and volunteers."
manage geotechnical staff,"Manage a complete geotechnical staff including consultants, contractors, geologists and geotechnical engineers."
prepare alcoholic beverages,Make and serve alcoholic beverages according to the customer's wants.
apply finish to concrete,Finish concrete using a variety of techniques like polishing and acid staining.
variety of apples,"Variety of apples ranging from sweet to sour and their colours, shapes, and uses."
analyse experimental laboratory data,Analyse experimental data and interpret results to write reports and summaries of findings
organise harvests,Schedule the planting and harvesting of crops.
read people,"Gather information on people by closely observing body language, registering vocal cues and asking questions."
perform dental clinical examination,"Perform a comprehensive examination of the patient`s teeth and gums, collecting data using clinical, radiographic, and periodontal techniques as well as dental charting and other techniques in order to assess the patient`s needs."
coordinate manufacturing production activities,"Coordinate manufacturing activities based on production strategies, policies and plans. Study details of the planning such as expected quality of the products, quantities, cost, and labour required to foresee any action needed. Adjust processes and resources to minimise costs."
types of chocolate,"Types of chocolate such as milk chocolate, white chocolate, dark chocolate, unsweetened chocolate and raw chocolate."
mechanical composition of trams,Understand the mechanical composition of trams; have the ability to identify and report any damage or malfunction to central operations.
business analysis,"The research field which addresses the identification of business needs and problems and the determination of the solutions that would mitigate or prevent the smooth functioning of a business. Business analysis comprises IT solutions, market challenges, policy development and strategic matters."
pattern grading,"Know about cutting patterns accurately and grading the patterns to obtain the size series in case of mass production. Know how to mark notches, holes, seam allowances, and other technical specifications. Make adjustments and obtain the final patterns for cutting in order to compensate any identified problems during sampling."
forecast timber production,Monitor and forecast timber production.
grind terrazzo,"Grind the poured and cured terrazzo layer in several steps, from rough to fine, using a grinding machine."
operate powered roof support,"Operate a powered roof support system, a hydraulically operated mobile piece of heavy mining equipment which supports the roof of a longwall face."
