skill_label,c_layer1,c_layer2,c_layer3
inspect wind turbines,3,5,2
degum liquids,1,0,3
care for the new-born infant,0,1,4
prepare chemical samples,3,2,0
conduct scholarly research,7,1,3
stamping press parts,5,4,1
promote a positive image of nursing,0,1,0
maintain anaesthetic machinery,0,1,2
feed press cylinders,5,3,2
perform air-cured methods for tobacco,1,0,2
set up light board,4,1,1
swimming pool safety guidelines,1,7,0
procure electrical machinery,3,5,0
sociology,0,1,8
study artistic techniques,4,6,2
assemble windows,5,1,2
create clay figures,5,0,1
lay resilient flooring tiles,5,1,4
check ride communications,1,8,0
gem cutting forms,5,2,2
use dairy test materials,1,0,3
attend to detail regarding food and beverages,1,3,1
politics,7,3,2
flammable fluids,5,4,0
community-based rehabilitation,0,1,6
select well equipment,3,5,0
light auxiliary gas jets,5,0,5
clean surfaces,1,3,0
create relationships with sport competitors,4,4,2
organisational resilience,10,2,0
bakery ingredients,1,0,0
review investment portfolios,2,4,2
assist clients with personal development,7,4,1
analyse the original actor's way of speaking,4,3,1
light a show,4,1,1
strategic planning,2,3,1
feed the clay mixing machine,5,0,4
provide in-home support for disabled individuals,0,0,3
re-assemble engines,3,1,2
manage library users queries,7,0,2
set standards for handling valuables,1,3,2
fasten rubber goods,5,0,7
assess progress with the artistic team,4,3,1
perform bunkering,1,2,2
tend spice mixing machine,1,0,3
sell audiovisual equipment,6,0,7
provide anaesthetics to animals,8,3,2
assess shelf life of food products,1,4,3
use gemstone identification equipment,5,2,2
evaluate nursing care,0,1,0
conduct cupping therapy,0,1,1
practice gestalt therapy,0,3,0
monitor flour unloading equipment,1,0,0
tend mouldmaking machines,5,0,6
operate edge banding machinery,5,0,2
lead police investigations,1,7,2
create cooperation modalities,2,4,0
maintain plastic machinery,5,2,1
apply vessel engine regulations,1,2,2
warm blooded animal organs,1,0,4
types of media,2,2,2
carry out routine maintenance of wood cutting machinery,8,2,3
manage rivers and streams,8,2,0
transfer wax,5,0,6
discuss the end point of therapeutic intervention,0,3,1
repair wells,3,5,0
work in a fishery team,3,4,2
direct fundraising activities,4,2,0
manufacture man-made fibres,9,2,2
provide domestic care,0,0,1
address public health issues,0,1,8
construction industry,6,0,0
architectural theory,3,4,3
apply wound dressings,0,1,2
promote health in specialised care,0,1,8
perform dunning activities,2,4,1
liaise with mine professionals,3,5,0
install in-floor and in-wall heating,5,1,4
complete administration,6,3,3
prepare kiln firebox,5,0,5
produce wind musical instrument components,5,2,3
explain accounting records,2,4,1
communicate by telephone,8,4,1
organise staff assessment,2,1,1
manage recycling program budget,3,5,1
check the production schedule,4,2,3
analyse chemical substances,3,2,0
drive firetruck under emergency conditions,1,7,1
use ICT systems,1,1,0
issue official documents,2,0,2
manage ground maintenance,8,2,1
manage artificial plant displays,8,0,2
manage forests,8,2,2
intensive care medicine,0,1,7
operate roof bolter,5,0,2
strip wire,3,1,0
media formats,6,1,0
monitor policy proposals,2,1,2
avoid tear-out in woodworking,5,2,1
types of psychotherapy sessions,0,3,2
table grapes manipulation,8,0,3
show confidence,1,2,2
irrigate soil,8,0,1
cleaning of reusable packaging,1,0,3
building automation,3,3,1
produce statistical financial records,2,4,3
educate customers on coffee varieties,1,3,1
tend thread rolling machine,5,4,2
development delays,7,4,2
make investment decisions,2,4,2
animal evolution,8,3,0
carry out chimney pressure testing,3,0,2
synchronise pumphouse activities,3,5,0
inspect animal carcasses,1,0,4
carry out event management,2,2,0
handle complaints,2,3,0
maintain personal hygiene standards when cleaning,1,3,0
preset costumes,4,3,3
apply assembling techniques for cemented footwear construction,9,3,2
vessel fuels,1,2,2
audiovisual products,4,3,4
project management principles,2,0,5
biological chemistry,0,1,2
show responsibility,2,1,2
interpret languages in live broadcasting shows,4,0,2
slaughter animals,1,0,4
"data extraction, transformation and loading tools",10,0,0
assist clients with special needs,6,4,3
provide self management support,0,1,8
supervise employees in food production plants,1,4,5
cut wires,3,1,0
catch poultry,8,3,3
establish usage policies,2,1,3
cytopathology,0,1,2
communicate regulations,10,4,1
prepare transportation routes,1,5,0
ensure pharmacovigilance,0,1,0
monasticism,2,0,4
observe mixture characteristics,5,0,4
analyse weather forecast,1,2,0
sell art,4,6,1
make critical decisions regarding the processing of food,1,0,3
legal standards in gambling,4,4,5
create a work atmosphere of continuous improvement,2,3,5
advise legislators,2,0,5
officiate civil partnerships,2,1,4
hydroelectricity,3,0,1
manage production enterprise,8,0,3
coffee characteristics,1,0,1
monitor aviation meteorology,1,5,3
blood transfusion,0,1,2
advise on social responsibility and sustainability matters,2,0,4
plan buildings maintenance work,2,4,0
operate call distribution system,10,2,2
shape corporate culture,2,3,5
use internet chat,6,4,2
define set materials,4,1,0
design scale models,5,2,1
organise facilities for office personnel,2,1,0
linguistics,7,3,0
perform different tobacco leaves curing methods,1,0,2
assemble printed circuit boards,3,1,0
pluck hair,0,1,1
coordinate with other emergency services,0,0,2
identify electoral violations,2,0,0
feed hoppers,5,0,6
evidence-based nursing care,0,1,0
offer assistance to national citizens,2,0,2
diagnose patients with immunodeficiencies,3,2,2
ensure cost efficiency in food manufacturing,1,4,5
conduct food tests,1,4,3
OpenEdge Database,10,0,0
manage water quality testing,3,0,3
record healthcare users' progress related to treatment,0,1,8
monitor coating specifications,1,0,0
manufacturing industrial braids,9,2,1
apply clinical physiotherapy skills,0,1,8
create garden areas in cemeteries,8,0,2
synthesise financial information,2,4,2
handle financial disputes,2,4,0
use tools for toy repair,5,2,1
use heat gun,5,2,0
develop educational materials on art therapy,0,3,0
manage production fluid in oil production,3,5,0
footwear materials,9,3,2
label stamps,5,3,0
interpret technical texts,10,3,1
embargo regulations,6,2,0
contribute to specialised publications,4,6,1
coordinate transport fleet,1,1,2
endocrinology,0,1,6
analyse customer service surveys,2,2,1
plan events,2,2,1
type of file,5,4,2
psychiatry,0,1,6
search engines,4,5,0
biomechanics,0,1,8
model sensor,3,3,1
operate forestry machinery,8,2,3
mine dump design,3,5,0
stack paper bags,5,3,0
clean amusement park facilities,1,8,0
green logistics,3,5,2
wash the laundry,1,3,0
building materials industry,5,1,4
repair ventilation equipment,3,1,1
create musical structures,7,3,1
operate automated process control,1,0,3
supervise video quality,4,3,4
load cargo,5,1,0
process printing input,5,3,2
manage financial transactions of fuel station,6,3,0
report on pest inspections,8,0,0
design automation components,3,4,0
inspect machinery,5,3,1
footwear and leather goods marketing planning,9,3,1
inspect scaffolding,5,1,4
manage data,10,0,2
conserve new media,4,5,0
publishing strategy,10,1,1
install septic systems,3,0,0
communicate using the global maritime distress and safety system,3,4,2
assist in will writing,2,4,2
computerised feeding systems,8,3,3
vehicle cargo capacity,1,1,5
rig automated lights,4,1,1
allocate numbers to clients' belongings,1,3,2
manage the use of vaccines,8,3,2
seafood processing,1,3,3
supervise music groups,7,3,1
operate horticulture equipment,8,0,1
develop new welding techniques,3,4,0
Objective-C,10,3,0
analyse business plans,2,4,2
sterilization techniques,0,1,1
refer social service users,0,0,0
manage archive users guidelines,10,0,0
liaise with transportation companies,1,1,0
flute sizes,5,3,0
design power plant systems,3,4,1
operate brick oven,5,0,4
supervise video and motion picture editing team,4,3,2
clean off fouling,8,4,3
manage educational institution's administration,7,4,1
design integrated circuits,3,3,1
respond to enquiries,2,1,2
develop dried-on-vine raisin production systems,8,0,3
manipulate puppets,4,2,1
footwear bottoms pre-assembly,9,3,2
install wall coverings,5,2,0
demonstrate commitment to democracy,2,0,0
select music for training,4,2,2
clinical disciplines in dentistry,0,1,0
revise quality control systems documentation,3,1,2
handle fish harvesting waste,8,4,0
maintain manufacturing rooms,1,1,6
control taxi schedules,1,1,1
perform market research in footwear,9,3,1
impact of social contexts on health,0,1,0
install railway detectors,5,1,3
suggest revision,4,5,0
integrated circuit types,3,3,1
monitor hatchery production,8,4,3
logistics,3,5,2
cook pastry products,1,3,3
general haematology,0,1,6
manage livestock,8,3,3
develop ICT workflow,10,2,3
supervise aquaculture facilities,8,4,2
DevOps,10,2,1
electroplating metal materials,5,2,2
use equipment for safe stowage,1,2,2
document your own practice,4,1,0
zoning codes,3,5,2
textile finishing technology,9,2,0
childbirth,0,1,4
provide psychological health assessment strategies,0,3,1
ensure compliance with gaming laws,4,4,4
post-process meat,6,0,8
determine resale value of items,2,4,3
create project specifications,10,2,1
military combat techniques,1,7,3
manipulate glass,5,2,0
oversee cremations,1,3,2
adapt to changes in technological development plans,10,3,1
repair wigs,4,1,2
advise on credit rating,2,4,3
cooperate with education professionals,7,4,1
steer vessels in ports,1,2,0
electronic components,3,3,1
prepare leather goods samples,9,3,0
curl hair,6,4,0
age alcoholic beverages in vats,1,0,1
assist with personal administration issues,0,0,3
determine charges for customer services,6,1,0
assemble cameras,3,3,2
grind wasted plastic,5,0,6
install power lines,3,0,1
keep up with trends in eating out,1,3,1
label medical laboratory samples,0,1,2
char barrels,5,2,1
write weather briefing,3,5,3
assess the footcare requirements of the equid,8,1,2
secure crane,5,1,3
operate jackhammer,5,1,3
assess an area as a tourism destination,2,3,4
create special effects,4,3,0
refer service users to community resources,0,0,3
diagnose education problems,7,4,0
shiatsu,0,1,1
vocal techniques,7,3,1
tend cocoa cleaning machines,1,0,0
supervise fruit production teams,8,0,1
manage aviation planning,1,5,2
establish relationship with the media,2,0,3
develop leather goods collection,9,3,0
monitor rail pickup machine,5,1,3
strategies for handling cases of elder abuse,0,0,1
operate heat treatment furnace,5,0,1
maintain dance training,7,2,3
carry out research on ground systems,10,0,1
anticipate shipment handling requirements,1,2,1
model microelectronics,3,3,1
supervise unloading of cargo,1,2,1
create data models,10,0,2
types of toy materials,6,0,5
analyse granulated mixture,1,1,6
teach electronics and automation principles,7,2,2
manage camelbacks,5,0,0
business ICT systems,10,2,1
assist with litigation matters,2,1,2
interact with the board of directors,2,3,5
provide information on the effects of childbirth on sexuality,0,1,4
watches and jewellery products,6,2,1
assess management of animals,8,3,3
define security policies,10,2,0
follow an environmental friendly policy while processing food,1,0,4
plan future capacity requirements,2,3,3
plan research process,10,0,1
prepare veterinary anaesthetic equipment,8,3,1
supervise audiology team,0,1,5
alkali stages of refining processes for edible oils,1,0,3
assess artistic proposal,4,2,3
develop plans related to client discharge,0,1,8
implement contingency plans for escapees,8,4,2
schedule mine production,3,5,0
dispatch ambulance,0,1,4
quality prototype of a tobacco leaf,1,0,2
use authentic crafting techniques,5,2,0
provide nursing care for animals in recovery,8,3,1
check for medication expiry terms,6,0,0
information architecture,10,0,2
health care legislation,0,1,3
ice cream manufacturing regulations,1,0,3
renal diseases,0,1,6
manage warehouse operations,10,4,1
use packaging equipment,1,1,0
create data sets,10,0,0
select acupuncture points,0,1,1
use orthodontic tools,0,1,0
tend sweet making machines,1,0,0
prepare mixed beverages,1,3,1
electrolytic passivation process,5,4,1
manufacturing of doors from metal,5,4,1
meet building regulations,3,4,3
handle rental overdues,6,1,0
manage flight data communications programme,1,5,2
functional properties of foods,1,4,2
develop waste management processes,3,0,1
process loyalty schemes,6,1,2
identify new recycling opportunities,3,5,1
coordinate fish handling operations,1,2,0
inspect tax returns,2,4,1
place sanitary equipment,5,1,0
create sketches,4,6,2
plant care products,6,0,9
assess art therapy sessions,0,3,0
cyber attack counter-measures,10,2,0
make mosaic,5,1,2
manage contracts,2,3,4
check the health of livestock,8,3,2
social mediation,0,0,1
demography,2,2,3
interpret radiology examinations,0,1,3
escapee contingency plans,8,4,2
produce slaked lime,5,0,5
advise on haberdashery products,6,0,2
marketing department processes,2,2,2
operate front loader,5,0,2
prepare syllabuses for vocational courses,7,4,1
display library material,7,0,2
protect trees,8,2,4
repair alarm system,1,7,0
operate concrete pumps,5,1,5
keep machines oiled for steady functioning,1,0,3
livestock reproduction,8,3,3
manage artworks' installation in the gallery,4,6,1
monitor work site,3,5,1
use glass engraving tools,5,2,2
identity aquaculture species,8,4,0
set import export strategies,6,2,0
assist in maritime rescue operations,1,2,0
materials for doll creation,5,0,1
create 2D painting,4,6,2
solve ICT system problems,10,2,0
cadastral taxation,2,4,1
plan water resource development,3,5,1
monitor mine costs,3,5,0
fish identification and classification,8,4,1
meet expectations of target audience,2,2,2
outdoor advertising,6,1,0
test oxygen purity,3,2,0
communication principles,2,3,0
select material to process,5,0,4
perform take off and landing,1,5,0
standards of track geometry,1,1,4
monitor environmental parameters,5,0,4
evaluate textile characteristics,9,2,1
deal with unforeseen incidents in hospitality,1,3,2
perform milk control,8,3,3
non vessel operating common carrier regulations,1,2,1
supervise gas distribution operations,3,0,0
create artwork,4,6,2
lay base courses,5,1,3
tend bottle-washing machine,1,0,3
negotiate supplier arrangements,5,1,2
husbandry and harvesting effects on aquatic resources,8,4,2
oversee the design of touristic publications,2,3,4
report misfires,5,1,1
place orders for textile materials,9,2,1
software interaction design,10,1,2
grain dehydration recipes,1,0,0
migration,0,0,1
rehearse with fellow actors,4,3,1
manage health promotion activities,0,3,1
prepare visual data,1,4,3
supervise game operations,4,4,5
tend spinning machines,9,2,2
leasing process,1,5,3
assess performance in sport events,4,4,2
conduct clinical research,0,1,2
origin of dietary fats and oils,1,0,3
check processing parameters,1,0,0
assess music therapy sessions,0,3,0
feed fertilizer mixer,5,0,4
record customers' personal data,6,1,0
calculate the productivity of the production of footwear and leather goods,9,3,0
identify ICT user needs,10,1,1
security regulations,2,3,2
PostgreSQL,10,0,0
stow cargo,1,2,2
provide chiropractic diagnosis,0,1,8
operate hydraulic pumps,5,0,2
types of storage facilities,8,0,1
types of pensions,2,4,0
perform water treatments,8,4,2
innovation processes,3,0,3
compile legal documents,2,1,2
follow directions of the artistic director,4,3,1
validate raw materials using adequate equipment,3,1,0
analyse business requirements,10,2,1
use water navigation devices,1,2,0
draft design specifications,3,4,1
present the farm facilities,8,0,1
operate paper cutter,5,3,0
align software with system architectures,10,3,0
mount photographic film in processing machine,4,5,1
food flavourings,1,4,0
store warehouse goods with precision,1,1,0
create annual marketing budget,2,2,1
manufacturing processes,3,4,1
music therapy clinical practice,0,3,0
arrange parent teacher conference,7,3,4
cultural practices regarding animal parts sorting,1,0,4
manufacture framework sections,5,2,0
check shipments,1,1,0
raise awareness on issues important for the local community,0,0,1
urban planning,3,5,2
rewrite manuscripts,4,5,0
maintain pool cleanliness,1,7,0
perform diving interventions,8,4,0
deliver fertiliser,0,3,2
microoptics,3,3,2
manage farm products,8,0,3
organise property viewing,2,4,0
manage emergency evacuation plans,2,3,2
manage ICT data classification,10,0,2
monitor fish health status,8,4,3
types of paint,5,1,2
spread fertiliser,8,0,0
swaging processes,5,4,2
study roles from scripts,4,3,1
use meteorological tools to forecast meteorological conditions,3,5,3
render 3D images,3,4,3
evaluate vineyard problems,8,0,3
operate mailing information systems,1,1,1
report to the team leader,8,4,0
ingredient threats,1,4,3
multimodal transport logistics,3,5,2
discover acting talent,4,3,2
monitor social impact,2,0,4
writing techniques,4,5,2
use intuition in booking projects,4,6,1
understand supply chain improvements in relation to profit gains,1,1,0
prepare floor for underlayment,5,1,2
utilise computer-aided software engineering tools,10,3,1
transcribe ideas into musical notation,4,2,0
3D body scanning technologies,9,0,0
bake confections,1,0,0
install electric switches,3,1,0
conduct psychological research,0,3,1
pursue excellence in the creation of food products,1,4,3
operate bottom supported cable-propelled vehicles,1,1,2
apply validation engineering,3,2,0
inform customers on energy consumption fees,3,0,2
perform frames' repairs,0,1,0
manage safety standards for inland water transport,1,2,1
manage disaster recovery plans,10,2,0
operate sieves for spices,1,0,3
schedule hatchery supplies,8,4,3
cut rubberized fabrics,5,0,7
adjust fermentation processes,1,4,3
audiovisual equipment,4,3,4
provide education management support,7,4,1
surgery,0,1,0
use interface description language,10,0,0
install car electronics,3,1,0
sell souvenirs,1,5,1
spray finishing technology,9,1,0
navy operations,1,7,1
organise wires,3,1,0
collaborate in the drafting of policies,2,0,0
organise transportation for clients,2,1,1
purchase of bloodstock,8,1,2
utilise methodologies for user centered design,10,1,3
use wood carving knives,5,2,1
handle knives for meat processing activities,6,0,8
plan tiling,5,1,2
maintain the trails,8,2,4
use wire processing machinery,3,1,0
install safety devices,3,5,1
maintain ICT server,10,2,2
operate ship rescue machinery,3,4,2
gel permeation chromatography,3,2,0
work on psychosomatic issues,0,3,1
laws on the transportation of dangerous goods,1,1,0
check diving equipment,8,4,0
prepare copper pipes for use as gas lines,5,1,0
compile drinks menu,1,3,1
ensure cross-department cooperation,2,0,2
encourage teambuilding,1,2,2
communicate problems to senior colleagues,3,0,3
dredging consoles,5,1,3
medical devices materials,3,4,2
load bulk trucks,1,1,5
ICT infrastructure,10,2,3
database management systems,10,0,0
hairdressing,4,3,3
test absorbency,5,3,1
oceanography,3,5,3
calculate utility payments,3,0,2
show professional responsibility,4,2,1
maintain snow removal equipment,3,1,2
gather data,2,2,3
provide strategies of differential diagnosis,0,3,1
lautering process,1,0,1
monitor construction site,5,1,2
participate in fashion shows,4,3,1
instruct employees on radiation protection,3,5,1
provide advice to technicians,5,4,1
develop store design,6,3,2
interrupt diving operations when necessary,5,1,1
process dairy farm products,8,3,3
perform self-assessment,7,3,3
asylum systems,2,0,5
stay alert,1,1,1
teach philosophy,7,3,2
assist animal birth,8,3,3
halal slaughtering practices,1,0,4
fishing vessels,3,4,2
use databases,2,0,0
maintain septic tanks,3,0,0
establish an ICT customer support process,10,2,3
prune hedges and trees,8,0,2
foodborne diseases,1,4,2
manage emergency procedures,3,5,0
assess power needs,4,1,1
inspect table settings,1,3,1
leather finishing technologies,9,1,0
manage third-party logistics providers,1,1,0
footwear creation process,9,3,1
perform surgical procedures on animals,8,3,2
attend sports training,7,3,3
green water incubation technology,8,4,3
manipulate dental material,0,1,0
prevent pipeline deterioration,3,0,0
tend compression moulding machine,5,0,6
food colorants,6,0,0
tend wire drawing machine,5,4,2
comply with agricultural code of practice,8,0,3
audio editing software,4,5,3
health care system,0,1,2
operate nibbling equipment,5,4,1
cargo industry,1,2,1
ensure vessel security,1,2,1
promote sport activities in public health,2,3,6
manage car park operations,1,5,3
marker making,9,0,0
manage artistic project,4,2,2
interact with users to gather requirements,10,2,1
operate tumble dryer,1,3,0
instruct animals for therapy purposes,0,3,0
smooth glass surface,5,0,5
welcome tour groups,6,4,3
assessment processes,7,2,1
plan pyrotechnical effects,4,1,2
lay concrete slabs,5,1,3
form bed for glass,5,0,5
maintain vessel steering mechanisms,1,2,2
operate cutting equipment,1,0,4
audio post-production,4,3,4
prepare warranty documents for electrical household appliances,6,0,0
apply 3D imaging techniques,10,1,2
participate in tourism events,4,3,1
dermato-venereology,0,1,6
diagnose musculoskeletal conditions,0,1,8
software components libraries,10,2,3
communicate with media,2,0,3
prepare cleaning materials for window cleaning,1,3,0
sandcarving,5,2,2
mechanics of motor vehicles,3,1,2
select therapy animals,8,3,0
monitor staff absences,2,1,0
assemble mechatronic units,3,3,0
install transport equipment lighting,3,1,0
follow signalling instructions,1,1,4
ICT network routing,10,2,2
nanoelectronics,3,3,1
carry out cheese production,1,0,3
attend to detail regarding jewellery creation,5,2,2
assess your competences for artistic coaching,4,2,2
apply weaving techniques for wicker furniture,5,2,1
manage animal hygiene,8,3,3
apply footwear and leather goods quality control techniques,9,3,0
design optical systems,3,3,2
coating substances,5,0,3
market analysis,2,0,5
organise transportation of tour groups,6,4,3
display spirits,1,3,1
encourage counselled clients to examine themselves,0,3,2
apply antibacterial substance to teeth,0,1,0
dispose of dead animals,8,3,3
ensure tram system power supply,1,1,3
research locations for wind farms,3,5,2
operate grinding hand tools,5,0,7
hot winding,5,4,2
operate metal detection equipment,1,7,3
provide non-surgical treatment in cosmetic procedures,7,2,2
operate hoists,5,3,0
maintain specified water characteristics,3,0,0
embalm bodies,1,3,2
hydrogenation processes for edible oils,1,0,3
develop account strategy,2,1,2
food legislation,1,4,5
transpose music,4,2,0
grade foods,1,4,2
tend meat processing production machines,1,0,4
zoonotic diseases,8,3,2
implement the airside safety auditing system,1,5,3
develop script bible,4,3,2
send faulty equipment back to assembly line,3,1,2
undertake procedures to meet aircraft flight requirements,1,5,0
coordinate electricity generation,3,0,1
prevent paper jams,5,3,0
maintain industrial equipment,3,4,0
iridology,0,1,1
monitor extraction logging operations,3,5,0
memorise large amounts of information,4,0,2
analytical methods in biomedical sciences,3,4,2
prepare mould for vacuum forming,5,0,3
install organs,5,2,3
provide pipe bedding,5,1,3
lacquer paint applications,5,2,0
prevent fraudulent activities,2,4,3
meteorology,3,5,3
plan rig moves,1,1,2
program sound cues,4,1,3
medication classification,2,2,0
assist hydrographic surveys,3,5,3
teach ESOL literacy class,7,4,0
clean public areas,1,3,0
assist in the administration of medication to elderly,0,1,0
innovate in ICT,10,0,1
balneotherapy,0,1,1
develop automated migration methods,10,3,1
compose digital game story,10,1,2
manage pig breeding,8,3,3
curdling of cheese,1,0,3
types of bleach,5,3,1
influence of adjuvant treatment on radiotherapy,0,1,3
analyse transportation costs,2,3,2
recommend orthotic devices,0,1,2
reduce dots,5,3,2
adapt hearing tests,0,1,5
thatch roofs,5,1,4
operate theodolite,5,1,3
manage ICT change request process,10,2,3
decide on make-up process,4,1,0
patient record storage,0,1,2
tend straightening press,5,4,1
carry out checks of production plant equipment,1,0,3
enter receipt of coffee inventory,1,0,1
bookkeeping regulations,2,4,1
manage casino facilities,4,4,4
electrical household appliances products,6,2,1
drive motor vehicle prototypes,3,1,2
analyse unemployment rates,2,0,5
operate fire extinguishers,1,7,0
disassemble mobile devices,10,3,1
advise on pollution prevention,3,5,1
stack goods,1,1,0
clean equipment,5,3,1
refraction of the eye,0,1,0
operate agricultural machinery,8,0,3
sell insurance,2,4,0
manage fleet capacity,1,1,2
dispatch order processing,1,1,0
manage wine production,8,0,3
power engineering,3,0,1
construct canal locks,5,1,1
organise library material,7,0,2
maintain an artistic portfolio,4,6,2
financial engineering,2,4,2
use metal bending techniques,5,1,0
conduct educational activities,2,0,4
help performers internalise choreographic material,7,2,3
add colour,5,0,6
demonstrate musicianship,0,3,0
use caulking tools,5,3,3
assemble circus rigging equipment,4,1,2
insert semen,8,3,1
develop management plans to reduce risks in aquaculture,8,4,1
sell software personal training,6,0,0
estimate damage,2,4,0
mix ink,5,3,2
carry out purchasing operations in the timber business,3,0,3
cut metal products,5,2,1
civil process order,2,1,2
prepare specialised meat products,1,0,4
negotiate contracts with event providers,2,0,1
manage a social work unit,0,0,1
types of weave for wire mesh,5,4,2
thread cloth liner,5,0,6
feed raw material into plant machinery,5,0,4
transport office equipment,6,4,0
operate tram system monitoring equipment,1,1,3
monitor parameters' compliance in construction projects,3,4,3
Frostbite (digital game creation systems),10,1,2
follow up nutrition care plan,0,1,7
assess danger in risk areas,1,7,3
conduct participatory research,7,1,0
develop design concept,4,1,0
anticipate logistics requirements for port operations,1,2,1
wood caulking processes,5,3,3
disability care,0,0,1
advise on merchandise features,6,1,0
electrical equipment regulations,3,1,0
monitor own performance as a sports official,4,4,2
negotiate rights of use,6,3,3
anchor sheet metal,5,1,1
apply safety procedures in laboratory,3,2,2
use barcode scanning equipment,1,1,0
ensure hotel security,1,7,0
clean spa work areas,1,3,0
information structure,10,0,0
fit up sound on stage,4,1,3
inspect roof for source of rainwater contamination,5,1,0
rope lashing,7,2,0
manual cutting processes for leather,9,3,1
approve packaging design,1,4,4
replace machines,3,3,0
manage footwear quality systems,9,3,0
rescue in road accidents,1,7,1
analyse ICT system,10,2,3
liaise with railway stakeholders in relation to accident investigations,1,1,4
apply different dehydration processes of fruits and vegetables,1,0,3
store pyrotechnical materials,4,1,2
hazard analysis and critical control points,1,3,1
keep up with the latest information systems solutions,10,2,3
set prices of menu items,1,3,3
select hazard control,1,7,1
instruct public,1,7,2
work with the lighting crew,4,3,3
collection management software,4,6,1
check bottles for packaging,1,0,1
maintain records of mining operations,3,5,0
oversee wetlands in project development,3,0,0
port regulation,1,2,1
lead the dental team,0,1,0
maintain desalination control system,3,0,0
protect surfaces during construction work,5,1,2
plan leather goods manufacture,9,3,0
manage a warehouse management system,1,1,0
install gutters,5,1,4
supervise maintenance of sport facilities,2,3,6
implement quality control procedures for biomedical tests,0,1,2
manufacture of wooden barrels,5,2,1
maintain sensor equipment,3,3,0
World Wide Web Consortium standards,10,3,1
decorate furniture,5,2,0
organise business documents,2,1,0
support young persons affected by sexual assault,0,3,2
cut stair carriages,5,1,4
manage logs transfer,5,3,1
nanotechnology,3,3,1
military code,1,7,3
compile GIS-data,3,5,3
diagnose problems of the visual system,0,1,0
recognise signs of corrosion,5,1,1
maintain electrical engines,3,1,0
prepare subgrade for road pavement,5,1,3
wine fermentation process,1,0,1
dig sewer trenches,5,1,3
principles of landscape construction,8,0,2
conduct inter-shift communication,3,5,0
process timber using hand-fed machinery,5,3,1
interact with clients in forestry,8,2,2
operate tower crane,5,1,3
apply flux,5,4,0
prepare the enamel,5,2,2
manage space utilisation,2,3,2
study artworks,4,6,2
match coffee grind to coffee type,1,0,1
apply systemic therapy,0,3,1
operate in a specific field of nursing care,0,1,0
store stage weapons,4,1,2
monitor workload,8,2,2
use water disinfection equipment,8,4,3
create solutions to problems,6,2,0
issue licences,3,1,2
acquire license for selling tobacco products,6,3,1
design process,10,2,1
types of sprinklers,5,1,0
demolish selectively,3,5,2
operate railway vehicles,1,1,4
implement sales strategies,6,1,0
oversee harvest process,8,4,0
advise superiors on military operations,1,7,3
monitor moving workpiece in a machine,5,4,2
use digital illustration techniques,4,6,0
apply supports for spinal adjustment,0,1,8
manage bank vault,2,4,2
adapt to changes on a boat,1,2,0
financial capability,1,0,1
work with video and motion picture production team,4,3,2
build a fire,7,2,0
"hides, skins and leather products",6,2,1
develop travel charter programme,2,3,4
cut house wrap,5,1,2
budgetary principles,2,0,2
taste cocoa beans,1,0,0
execute analytical mathematical calculations,3,4,1
operate tunnelling machine,5,0,2
toys and games industry,5,2,1
feed additives,1,0,1
use painting techniques,7,3,2
install frost protection materials,5,1,3
operate railway warning systems,1,1,4
Python (computer programming),10,3,0
draw up artistic programming policy,4,2,4
develop manufacturing policies,3,0,3
make electrical calculations,3,0,1
web analytics,10,0,2
handle communications in the food processing industry,1,4,2
install electricity meter,3,1,0
control panel components,3,1,0
clean vending machines,1,3,0
control textile process,9,2,1
manage donated goods in second-hand shop,6,3,4
audiometry,0,1,5
draft bill of materials,3,3,3
types of essential oils,0,1,1
drive heavy duty trucks for snow removal,1,3,0
ensure visual quality of the set,4,3,0
set safety and security standards,1,7,0
identify suspicious behaviour,1,7,0
install wood heater,3,1,1
identify customer requirements,10,3,1
starch production processes,1,0,3
diagnose aquatic animals disease symptoms,8,4,1
airport safety regulations,1,5,3
keep task records,8,0,1
use automotive diagnostic equipment,3,1,2
bolt engine parts,3,1,2
make numerical calculations,1,1,3
review meteorological forecast data,3,5,2
research recycling grant opportunities,3,5,1
oil rig legislation,3,5,0
fill kettle,5,0,4
construct moulds,5,0,6
coordinate security,1,7,0
lip reading,0,1,5
undertake risk assessment of social service users,0,0,3
draw up risk assessment,8,4,2
perform aromatisation of wines,1,0,1
sales department processes,2,2,1
create technical sketches for footwear,9,3,1
listen actively,0,0,3
recommend personalised optical products to customers,6,0,7
assist in military logistics,1,7,3
identify support mechanisms to develop your professional practice,8,4,0
supervise store opening and closing procedures,1,3,0
communicate in an outdoor setting,8,4,1
conduct research in advanced nursing care,0,1,0
maintain construction structures,5,1,4
correspond with licence applicants,2,1,3
advise on training courses,0,0,1
perform beverage dealcoholisation,1,0,1
hold metal work piece in machine,5,4,2
apply person-centred care,0,0,0
epigraphy,7,1,0
report live online,4,5,3
computer history,7,3,2
transcribe dialogues,4,0,1
ensure regular maintenance of kitchen equipment,1,3,1
conduct environmental site assessments,3,5,1
make surtitles,4,0,1
stock tobacco products machines with materials,1,0,2
perform flight manoeuvres,1,5,0
develop policies for nutritional programs,0,1,7
toys and games trends,6,0,5
provide information on education financing,7,4,1
negotiate settlements,2,1,1
write scientific papers,3,2,1
advise on timber-based products,8,2,3
